elapsed_minute,phase,service_voltage_factor,connection_bus_id,connection_bus_voltage_pu,drive_terminal_voltage_pu,pump_speed_command_pu,pump_actual_speed_pu,pump_flow_l_s,pump_electrical_power_mw,critical_node_pressure_m,maximum_pressure_m,maximum_water_velocity_m_s,delivered_water_fraction,system_minimum_voltage_pu,maximum_line_loading_percent,maximum_transformer_loading_percent,inner_iterations,voltage_residual_pu,pump_power_residual_mw,water_limits_passed,electricity_limits_passed,inner_coupling_converged,normal_state_limits_passed,disturbed_state_retained
0,normal_pre,1.0,PB046,1.0380946731710137,1.0380946731710137,0.99,1.0088568632196517,130.0577074289322,0.2028450036264777,42.12066650390625,109.06000518798828,0.49975845217704773,1.0,0.9234969489010288,80.51545169321089,86.11283985378857,3,1.444274921880151e-09,5.138576975871612e-07,True,True,True,True,True
5,normal_pre,1.0,PB046,1.0380946723550297,1.0380946723550297,0.99,1.0088568628157395,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489012854,80.51545169321062,86.1128398782251,3,2.710320856635917e-11,9.64125207447708e-09,True,True,True,True,True
10,normal_pre,1.0,PB046,1.0380946723719322,1.0380946723719322,0.99,1.0088568628241066,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.923496948901107,80.51545169321442,86.11283987771718,3,1.7197354651443675e-12,6.170401412042281e-10,True,True,True,True,True
15,normal_pre,1.0,PB046,1.0380946723730125,1.0380946723730125,0.99,1.008856862824641,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011015,80.51545169321075,86.11283987768918,3,1.1657341758564144e-13,3.949057747476559e-11,True,True,True,True,True
20,normal_pre,1.0,PB046,1.0380946723730942,1.0380946723730942,0.99,1.0088568628246817,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.923496948901111,80.51545169321456,86.11283987768519,3,1.4432899320127035e-14,2.5273949599835532e-12,True,True,True,True,True
25,normal_pre,1.0,PB046,1.0380946723730937,1.0380946723730937,0.99,1.0088568628246815,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011017,80.51545169321062,86.11283987768441,3,1.7763568394002505e-15,1.617594946878853e-13,True,True,True,True,True
30,fault_depressed,0.855,PB046,1.0384578953454122,0.8878815005203274,0.99,0.7125510247873589,116.6100725531578,0.07308266422351238,-16.85152816772461,44.70570755004883,0.4995783865451813,0.8970633875162572,0.9234969489010916,80.51545169321265,86.10196214884502,6,2.0420597970360888e-06,0.0007270600499437174,False,True,True,False,True
35,fault_depressed,0.855,PB046,1.0384591326607486,0.88788255842494,0.99,0.7125709239731215,116.62088334560394,0.07309764187182627,-16.848068237304688,44.71054458618164,0.4995783865451813,0.8971067694340247,0.9234969489010725,80.51545169321443,86.10192509908138,3,1.2297983009723623e-07,4.3786231232870176e-05,False,True,True,False,True
40,fault_depressed,0.855,PB046,1.0384592072083758,0.8878826221631613,0.99,0.7125721228890634,116.62157624959946,0.0730985404622773,-16.847864151000977,44.71082305908203,0.4995783865451813,0.8971092336644922,0.9234969489010626,80.51545169320707,86.10192286685286,3,7.372651822379339e-09,2.6249883801621188e-06,False,True,True,False,True
45,fault_depressed,0.855,PB046,1.0384592117075315,0.8878826260099394,0.99,0.7125721952469597,116.62160605192184,0.07309858493575747,-16.84784507751465,44.71086120605469,0.4995783865451813,0.8971094055875481,0.9234969489011229,80.51545169321116,86.10192273213148,3,4.36582769935967e-10,1.554373469381254e-07,False,True,True,False,True
50,fault_depressed,0.855,PB046,1.0384592119803784,0.8878826262432234,0.99,0.7125721996350329,116.62162095308304,0.07309859427582605,-16.84784507751465,44.71084213256836,0.4995783865451813,0.8971093482798629,0.9234969489011109,80.51545169320735,86.1019227239624,3,1.209277122882213e-11,4.300326747475047e-09,False,True,True,False,True
