interface_id,bus_id,sector,asset_id,nominal_power_mw,power_mw,voltage_pu,speed_pu,energized,feedback_model,confidence_class,notes,calculated_power_mw
IF_0001,PB046,drinking_water,WAT-WW-01,0.18250305683195586,0.20283352764866164,1.0380939972133576,1.008856528620612,True,WNTR_HEAD_PUMP,B/C,EPANET solved source flow times exported source-head rise; eta=0.72,0.20284552405950973
IF_0002,PB040,drinking_water,WAT-WF-01,0.0010628329528158,0.0010465896539630574,0.9897167103400849,0.9948583551700425,True,AFFINITY_AUXILIARY_PUMP,B/C,well-count allocation; H=30 m and eta=0.72 are engineering priors,0.0010465229491949096
IF_0003,PB012,drinking_water,WAT-WF-02,0.0403876522070015,0.04211020476537085,1.0281520892103735,1.0140760446051869,True,AFFINITY_AUXILIARY_PUMP,B/C,well-count allocation; H=30 m and eta=0.72 are engineering priors,0.04211727010081819
IF_0004,PB060,drinking_water,WAT-WF-03,0.0021256659056316,0.002138695588921309,1.0040949544544,1.0020474772272001,True,AFFINITY_AUXILIARY_PUMP,B/C,well-count allocation; H=30 m and eta=0.72 are engineering priors,0.0021387493706877194
IF_0005,PB022,drinking_water,WAT-WF-04,0.0021256659056316,0.002233950924493338,1.0335353490420478,1.016767674521024,True,AFFINITY_AUXILIARY_PUMP,B/C,well-count allocation; H=30 m and eta=0.72 are engineering priors,0.002234396275106991
IF_0006,PB002,drinking_water,WAT-WF-05,0.0074398306697108,0.007637916148572696,1.0176660888548146,1.0088330444274072,True,AFFINITY_AUXILIARY_PUMP,B/C,well-count allocation; H=30 m and eta=0.72 are engineering priors,0.007638726992116937
IF_0007,PB060,drinking_water,WAT-ST-01,0.005,0.005,1.0040949544544,1.0,True,constant_auxiliary,B/C,controls and telemetry engineering prior,0.005
IF_0008,PB022,drinking_water,WAT-ST-02,0.005,0.005,1.0335353490420478,1.0,True,constant_auxiliary,B/C,controls and telemetry engineering prior,0.005
IF_0009,PB009,drinking_water,WAT-ST-03,0.005,0.005,0.9887737236448277,1.0,True,constant_auxiliary,B/C,controls and telemetry engineering prior,0.005
IF_0010,PB037,drinking_water,WAT-ST-04,0.005,0.005,1.0265347969267085,1.0,True,constant_auxiliary,B/C,controls and telemetry engineering prior,0.005
