elapsed_minute,leak_active,equivalent_orifice_diameter_mm,leak_flow_l_s,pump_flow_l_s,pump_electrical_power_mw,pump_speed_command_pu,pump_actual_speed_pu,pump_discharge_pressure_m,critical_node_pressure_m,maximum_pressure_m,maximum_water_velocity_m_s,delivered_water_fraction,pump_bus_id,pump_bus_voltage_pu,system_minimum_voltage_pu,maximum_line_loading_percent,maximum_transformer_loading_percent,inner_iterations,voltage_residual_pu,pump_power_residual_mw,water_limits_passed,electricity_limits_passed,inner_coupling_converged,step_accepted
0,False,0.0,0.0,130.0550252199173,0.19307840081517819,0.99,1.0088692328979523,102.42308044433594,40.134666442871094,104.03556060791016,0.4599757194519043,1.0,PB046,1.0381196624201052,0.9234958740506526,80.51552199351715,86.11213530812716,3,2.6281495595359416e-06,0.0009351198668742233,True,True,True,True
5,False,0.0,0.0,130.05493581295013,0.1930793036014687,0.99,1.008870043524631,102.42366027832031,40.135223388671875,104.03611755371094,0.4599754214286804,1.0,PB046,1.0381213000497593,0.9234958740505134,80.51552199351389,86.11208625887366,3,1.6788804280132297e-07,5.973644772988562e-05,True,True,True,True
10,False,0.0,0.0,130.05509972572327,0.1930790291859052,0.9899990659116988,1.0088691438946698,102.4233627319336,40.134944915771484,104.03584289550781,0.4599759578704834,1.0,PB046,1.0381214056310109,0.9234958740505341,80.51552199351212,86.11208309657226,3,1.067295984924499e-08,3.797562651952635e-06,True,True,True,True
15,False,0.0,0.0,130.0552934408188,0.1930789140712505,0.9899986111576221,1.0088686840308758,102.42315673828125,40.13473892211914,104.03561401367188,0.4599766433238983,1.0,PB046,1.0381214128193343,0.9234958740502671,80.51552199351005,86.11208288127082,3,3.757802957693457e-10,1.3370746154706126e-07,True,True,True,True
20,False,0.0,0.0,130.0550401210785,0.19307871058168818,0.9899984882509859,1.008868559177077,102.42325592041016,40.13481140136719,104.03571319580078,0.4599757790565491,1.0,PB046,1.0381214136183756,0.9234958740503578,80.51552199351374,86.11208285734098,3,3.507305557093332e-11,1.2480437822093293e-08,True,True,True,True
25,False,0.0,0.0,130.0550252199173,0.1930785734017947,0.9899982055659631,1.0088682712992518,102.42317962646484,40.13475799560547,104.03563690185547,0.4599757194519043,1.0,PB046,1.038121414013071,0.9234958740508448,80.51552199350434,86.11208284551913,3,2.135402965564026e-11,7.596842654944425e-09,True,True,True,True
30,True,30.0,22.371847182512283,152.4188220500946,0.2005231748783014,0.9899980457874282,1.008858413154758,90.7647705078125,28.47682762145996,92.37725830078125,0.45994722843170166,1.0,PB046,1.0381018274684142,0.9234958740507446,80.51552199351374,86.11266949331208,3,2.0051259070896776e-06,0.0007134208517646512,True,True,True,True
35,True,30.0,23.01851287484169,153.06910872459412,0.21318883513293277,1.0105514180944073,1.0297851594383123,96.0877914428711,33.79962921142578,97.70026397705078,0.45996007323265076,1.0,PB046,1.0380658341565123,0.9234958740505276,80.51552199351197,86.11374757224223,4,1.4140106270321695e-06,0.0005030675170538124,True,True,True,True
40,True,30.0,23.35972525179386,153.41238677501678,0.22004843621653206,1.0214788385315157,1.0409108912663765,98.95760345458984,36.6693115234375,100.57006072998047,0.4599672853946686,1.0,PB046,1.038046902200728,0.9234958740506695,80.51552199351715,86.11431463778206,3,1.937921175754198e-06,0.0006894360500347974,True,True,True,True
45,True,30.0,23.543555289506912,153.5971760749817,0.22379452784830633,1.0273895359685277,1.0469283455891152,100.52119445800781,38.23286437988281,102.13365936279297,0.45997077226638794,1.0,PB046,1.0380358353604762,0.9234958740505941,80.51552199351156,86.1146461246616,3,1.1326094473407267e-06,0.0004029288922585972,True,True,True,True
