morphology,sector,nodes,links,route_length_km,cycle_rank,branch_fraction,leaf_fraction,average_service_route_km,maximum_service_route_km,source_count,facility_count,buildings,territory_area_km2,building_density_km2,allocated_demand,demand_unit,equipment_size_median,equipment_size_p90,equipment_size_max,district_heat_contracts,district_heat_contracts_per_km2,generation_runtime_s
dense,electricity,607.0,599.0,185.90425435074425,5.0,0.35090609555189456,0.4382207578253707,0.38961837968143215,2.131832999152483,41,41,12399,12.78311273148148,969.9515493956718,74725.9484648337,MWh/y,95.0,240.0,240.0,0,0.0,215.46717685100157
dense,drinking_water,655.0,671.0,97.45892615287194,19.0,0.4259541984732824,0.3969465648854962,2.464533707090337,5.41557457956999,1,8,12399,12.78311273148148,969.9515493956718,2049595.6751552057,m3/y,80.0,200.0,600.0,0,0.0,215.46717685100157
dense,wastewater,606.0,603.0,95.43136345231211,0.0,0.39933993399339934,0.4240924092409241,4.815372828198777,7.956149595235996,0,17,12399,12.78311273148148,969.9515493956718,2049595.6751552057,m3/y,200.0,200.0,600.0,0,0.0,215.46717685100157
dense,district_heating,45.0,44.0,24.05314320416878,0.0,0.37777777777777777,0.4444444444444444,3.7504184969242225,5.778240581787102,0,18,12399,12.78311273148148,969.9515493956718,37918.82769564325,MWh/y,137.5,350.0,600.0,336,26.284677844741164,215.46717685100157
suburban,electricity,328.0,318.0,85.16027302541549,0.0,0.3323170731707317,0.45121951219512196,0.36614133688417716,1.5625895176477917,28,28,7248,11.099161689814816,653.0222914628906,34082.4984892128,MWh/y,95.0,240.0,240.0,0,0.0,215.46717685100157
suburban,drinking_water,326.0,329.0,53.689767472355896,15.0,0.3987730061349693,0.401840490797546,4.96235441793946,8.601163391314016,0,4,7248,11.099161689814816,653.0222914628906,935248.1329521871,m3/y,80.0,100.0,250.0,0,0.0,215.46717685100157
suburban,wastewater,303.0,292.0,53.597786783800395,0.0,0.36303630363036304,0.44554455445544555,5.077969253462456,8.534684229653681,0,4,7248,11.099161689814816,653.0222914628906,935248.1329521871,m3/y,200.0,200.0,250.0,0,0.0,215.46717685100157
suburban,district_heating,27.0,22.0,14.818030269432041,0.0,0.2962962962962963,0.6666666666666666,6.6005024295442185,7.748275157512483,0,14,7248,11.099161689814816,653.0222914628906,23404.778874463234,MWh/y,100.0,195.0000000000001,250.0,254,22.884611207446774,215.46717685100157
peripheral,electricity,123.0,110.0,31.229356156816138,0.0,0.2682926829268293,0.4796747967479675,0.4419762830344416,3.0550338393028946,15,15,3143,10.28748263888889,305.51691899034523,14447.70997656205,MWh/y,95.0,240.0,240.0,0,0.0,215.46717685100157
peripheral,drinking_water,123.0,116.0,21.79819655647436,2.0,0.3008130081300813,0.4146341463414634,4.614385882489723,7.289535461705616,0,2,3143,10.28748263888889,305.51691899034523,481562.98870606895,m3/y,80.0,80.0,125.0,0,0.0,215.46717685100157
peripheral,wastewater,113.0,104.0,21.526177557653416,0.0,0.25663716814159293,0.4247787610619469,6.528005420773077,9.166944906224936,0,0,3143,10.28748263888889,305.51691899034523,481562.98870606895,m3/y,200.0,200.0,200.0,0,0.0,215.46717685100157
peripheral,district_heating,4.0,2.0,2.7548150059708036,0.0,0.0,1.0,6.327588449922596,6.8145798995197655,0,4,3143,10.28748263888889,305.51691899034523,4774.975718247515,MWh/y,82.5,96.5,100.0,50,4.860275516868362,215.46717685100157
industrial,electricity,246.0,232.0,78.01268968665983,0.0,0.3048780487804878,0.45934959349593496,0.43723787137796644,2.20935029596417,21,21,3644,23.360242939814814,155.99152840098364,33594.98706939147,MWh/y,95.0,240.0,240.0,0,0.0,215.46717685100157
industrial,drinking_water,281.0,292.0,54.622038210461554,22.0,0.45195729537366547,0.4128113879003559,3.423390423492561,5.8292349107833425,0,1,3644,23.360242939814814,155.99152840098364,633593.2031865377,m3/y,80.0,100.0,200.0,0,0.0,215.46717685100157
industrial,wastewater,250.0,239.0,59.59144284604257,0.0,0.376,0.492,3.7329540816745066,9.156141527330426,1,25,3644,23.360242939814814,155.99152840098364,633593.2031865377,m3/y,200.0,200.0,600.0,0,0.0,215.46717685100157
industrial,district_heating,25.0,23.0,8.781222980048868,0.0,0.36,0.52,4.091277408822351,5.968947071952091,1,13,3644,23.360242939814814,155.99152840098364,21401.417711645998,MWh/y,125.0,290.00000000000006,600.0,201,8.604362570965343,215.46717685100157
