iteration,repair_round,sector,failed_metric,diagnosis,repair_action,asset_id,before_value,after_value,threshold_unchanged
1,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.919311 m/s; gradient=104.056873 Pa/m,upsize violating corridor by one catalogue class,H_R00223,80.0,100.0,True
2,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00493,200.0,250.0,True
3,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00494,200.0,250.0,True
4,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00495,200.0,250.0,True
5,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00496,200.0,250.0,True
6,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00497,200.0,250.0,True
7,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00498,200.0,250.0,True
8,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00499,200.0,250.0,True
9,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00500,200.0,250.0,True
10,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00501,200.0,250.0,True
11,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00504,200.0,250.0,True
12,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00514,200.0,250.0,True
13,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00520,200.0,250.0,True
14,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.489971 m/s; gradient=109.335686 Pa/m,upsize violating corridor by one catalogue class,H_R00526,200.0,250.0,True
15,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.816000 m/s; gradient=100.902754 Pa/m,upsize violating corridor by one catalogue class,H_R00810,65.0,80.0,True
16,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.512746 m/s; gradient=103.586098 Pa/m,upsize violating corridor by one catalogue class,H_R01089,25.0,32.0,True
17,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.512746 m/s; gradient=103.586098 Pa/m,upsize violating corridor by one catalogue class,H_R01090,25.0,32.0,True
18,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.512746 m/s; gradient=103.586098 Pa/m,upsize violating corridor by one catalogue class,H_R01094,25.0,32.0,True
19,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.512746 m/s; gradient=103.586098 Pa/m,upsize violating corridor by one catalogue class,H_R01096,25.0,32.0,True
20,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.512746 m/s; gradient=103.586098 Pa/m,upsize violating corridor by one catalogue class,H_R01100,25.0,32.0,True
21,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.512746 m/s; gradient=103.586098 Pa/m,upsize violating corridor by one catalogue class,H_R01102,25.0,32.0,True
22,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.512746 m/s; gradient=103.586098 Pa/m,upsize violating corridor by one catalogue class,H_R01104,25.0,32.0,True
23,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.719499 m/s; gradient=101.982723 Pa/m,upsize violating corridor by one catalogue class,H_R01161,50.0,65.0,True
24,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.140874 m/s; gradient=102.565494 Pa/m,upsize violating corridor by one catalogue class,H_R01206,125.0,150.0,True
25,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.140874 m/s; gradient=102.565494 Pa/m,upsize violating corridor by one catalogue class,H_R01208,125.0,150.0,True
26,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.140874 m/s; gradient=102.565494 Pa/m,upsize violating corridor by one catalogue class,H_R01209,125.0,150.0,True
27,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.140874 m/s; gradient=102.565494 Pa/m,upsize violating corridor by one catalogue class,H_R01211,125.0,150.0,True
28,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.140874 m/s; gradient=102.565494 Pa/m,upsize violating corridor by one catalogue class,H_R01215,125.0,150.0,True
29,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.140874 m/s; gradient=102.565494 Pa/m,upsize violating corridor by one catalogue class,H_R01219,125.0,150.0,True
30,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.140874 m/s; gradient=102.565494 Pa/m,upsize violating corridor by one catalogue class,H_R01220,125.0,150.0,True
31,1,district_heating,native velocity or catalogue pressure gradient,velocity=1.135036 m/s; gradient=101.518612 Pa/m,upsize violating corridor by one catalogue class,H_R01291,125.0,150.0,True
32,1,district_heating,native velocity or catalogue pressure gradient,velocity=0.816213 m/s; gradient=100.955380 Pa/m,upsize violating corridor by one catalogue class,H_R01315,65.0,80.0,True
